"CONGLOME","VIVIENDA","HOGAR","UBIGEO","privacion_cocina","privacion_ilumina","privacion_comuni","privacion_electro","privacion_entreteni","puntaje","P101","P102","P1172.02","P207","P208A","P301A","MIEPERHO","Pobre_energético","ESTRATO","ingreso_pc_mensual","inseguridad_alimentaria","sexo_mujer","educacion_basica_completa","material_pared","estrato3","ingreso_pc_z","gasto_elec_z","distrito","provincia"
18585,56,11,"160101",1,0,0,0,0,0.4,1,1,45,1,50,7,3,1,2,1732.32769097222,1,0,1,"Duradero","Urbano",0.787905999521158,0.0628633280528297,"Iquitos","Maynas "
18585,72,11,"160101",1,0,0,0,0,0.4,1,1,25,1,61,6,4,1,2,508.042195638021,1,0,1,"Duradero","Urbano",-0.412910138900371,-0.295038904137349,"Iquitos","Maynas "
18585,87,11,"160101",1,0,0,0,0,0.4,1,1,86,1,30,10,3,1,2,946.967881944444,0,0,1,"Duradero","Urbano",0.0176014122804434,0.796562904042695,"Iquitos","Maynas "
18585,102,11,"160101",0,0,0,0,0,0,1,1,100,1,27,6,3,0,2,868.888888888889,1,0,1,"Duradero","Urbano",-0.0589808189802641,1.04709446657582,"Iquitos","Maynas "
18606,12,11,"160101",0,0,0,0,0,0,1,1,36,1,75,10,6,0,2,709.509440104167,1,0,1,"Duradero","Urbano",-0.215304989251658,-0.0981926764327505,"Iquitos","Maynas "
18606,24,11,"160101",1,0,1,0,0,0.53,1,7,0,1,81,6,2,1,2,822.05224609375,1,0,1,"Precario","Urbano",-0.104919610832514,-0.742416694375072,"Iquitos","Maynas "
18606,86,11,"160101",1,0,0,1,0,0.53,1,9,0,2,65,5,5,1,2,807.8974609375,1,1,0,"Precario","Urbano",-0.118803051023787,-0.742416694375072,"Iquitos","Maynas "
18599,25,11,"160101",1,0,0,0,0,0.4,1,8,47,1,60,6,5,1,2,1304.61236979167,1,0,1,"Precario","Urbano",0.368389912561754,0.0986535512718476,"Iquitos","Maynas "
18599,65,11,"160101",0,0,0,0,0,0,1,1,116,2,38,8,3,0,2,1292.53830295139,0,1,1,"Duradero","Urbano",0.356547303649502,1.33341625232796,"Iquitos","Maynas "
18599,107,11,"160101",0,0,0,1,0,0.13,1,8,38,1,67,5,3,0,2,774.943196614583,1,0,0,"Precario","Urbano",-0.151125587376278,-0.0624024532137327,"Iquitos","Maynas "
18573,82,11,"160101",1,0,0,0,0,0.4,1,1,185,1,37,10,7,1,2,784.143601190476,1,0,1,"Duradero","Urbano",-0.142101553082934,2.56817895338408,"Iquitos","Maynas "
18574,46,11,"160101",0,0,0,0,0,0,1,1,194,1,56,10,2,0,2,2394.16259765625,1,0,1,"Duradero","Urbano",1.43705363701721,2.72923495786966,"Iquitos","Maynas "
18634,60,11,"160101",1,0,0,1,0,0.53,1,8,42,2,49,7,3,1,2,637.593641493056,1,1,1,"Precario","Urbano",-0.285842173518569,0.00917799322430298,"Iquitos","Maynas "
18566,7,11,"160101",1,0,0,0,0,0.4,1,1,80,1,57,8,1,1,2,2813.11881510417,0,0,1,"Duradero","Urbano",1.84797853086002,0.689192234385642,"Iquitos","Maynas "
18566,20,11,"160101",0,0,0,1,1,0.26,1,1,0,2,58,6,3,1,2,1132.89735243056,1,1,1,"Duradero","Urbano",0.199966644588407,-0.742416694375072,"Iquitos","Maynas "
18566,31,11,"160101",1,0,0,1,0,0.53,1,1,81,2,88,10,5,1,2,891.9890625,1,1,1,"Duradero","Urbano",-0.0363234719984726,0.707087345995151,"Iquitos","Maynas "
18566,43,11,"160101",1,0,0,0,0,0.4,1,1,253,1,52,10,4,1,2,3558.1962890625,0,0,1,"Duradero","Urbano",2.57877298894456,3.78504654283068,"Iquitos","Maynas "
18566,54,11,"160101",0,0,0,0,0,0,1,1,254,1,77,11,4,0,2,1866.66145833333,0,0,1,"Duradero","Urbano",0.919664610071511,3.80294165444019,"Iquitos","Maynas "
18566,66,11,"160101",0,0,0,0,0,0,1,1,26,1,27,10,1,0,2,3228.75455729167,0,0,1,"Duradero","Urbano",2.25564660242148,-0.27714379252784,"Iquitos","Maynas "
18566,77,11,"160101",0,0,0,1,1,0.26,3,1,0,2,46,7,1,1,2,1563.13785807292,1,1,1,"Duradero","Urbano",0.621959508627815,-0.742416694375072,"Iquitos","Maynas "
