CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18606,86,11,160101,1,9,0,2,65,5,5,1,2,807.8974609375,1,1,0,Precario,Urbano,-0.11880305102378667,-0.7424166943750715
18599,25,11,160101,1,8,47,1,60,6,5,1,2,1304.6123697916667,1,0,1,Precario,Urbano,0.36838991256175446,0.09865355127184756
18599,65,11,160101,1,1,116,2,38,8,3,0,2,1292.538302951389,0,1,1,Duradero,Urbano,0.35654730364950243,1.333416252327963
18599,107,11,160101,1,8,38,1,67,5,3,0,2,774.9431966145834,1,0,0,Precario,Urbano,-0.1511255873762776,-0.062402453213732695
18573,82,11,160101,1,1,185,1,37,10,7,1,2,784.1436011904761,1,0,1,Duradero,Urbano,-0.14210155308293373,2.568178953384078
18574,46,11,160101,1,1,194,1,56,10,2,0,2,2394.16259765625,1,0,1,Duradero,Urbano,1.4370536370172144,2.729234957869658
18634,60,11,160101,1,8,42,2,49,7,3,1,2,637.5936414930555,1,1,1,Precario,Urbano,-0.28584217351856905,0.009177993224302976
18566,7,11,160101,1,1,80,1,57,8,1,1,2,2813.1188151041665,0,0,1,Duradero,Urbano,1.8479785308600232,0.6891922343856418
18566,20,11,160101,1,1,0,2,58,6,3,1,2,1132.8973524305554,1,1,1,Duradero,Urbano,0.19996664458840652,-0.7424166943750715
18566,31,11,160101,1,1,81,2,88,10,5,1,2,891.9890625,1,1,1,Duradero,Urbano,-0.036323471998472585,0.7070873459951508
18566,43,11,160101,1,1,253,1,52,10,4,1,2,3558.1962890625,0,0,1,Duradero,Urbano,2.5787729889445568,3.7850465428306843
18566,54,11,160101,1,1,254,1,77,11,4,0,2,1866.6614583333333,0,0,1,Duradero,Urbano,0.9196646100715106,3.8029416544401933
18566,66,11,160101,1,1,26,1,27,10,1,0,2,3228.7545572916665,0,0,1,Duradero,Urbano,2.2556466024214825,-0.2771437925278397
18566,77,11,160101,3,1,0,2,46,7,1,1,2,1563.1378580729167,1,1,1,Duradero,Urbano,0.6219595086278155,-0.7424166943750715
18573,3,11,160101,1,1,106,1,70,11,6,0,2,2874.983940972222,0,0,1,Duradero,Urbano,1.9086577121710468,1.1544651362328737
18573,19,11,160101,1,1,189,1,75,10,6,0,2,940.1706814236112,0,0,1,Duradero,Urbano,0.010934513005225181,2.639759399822114
18573,50,11,160101,1,1,97,2,42,11,4,0,2,1907.5397135416667,0,1,1,Duradero,Urbano,0.9597592356729362,0.9934091317472934
18573,64,11,160101,1,8,46,1,65,6,3,1,2,220.73042805989584,1,0,1,Precario,Urbano,-0.6947141858984516,0.08075843966233864
18574,3,11,160101,1,1,120,1,64,7,5,0,2,1797.3022135416668,1,0,1,Duradero,Urbano,0.8516349708966816,1.4049966987659985
18574,14,11,160101,1,1,68,1,71,8,6,0,2,1547.3260633680557,0,0,1,Duradero,Urbano,0.6064508234956583,0.4744508950715348
18574,25,12,160101,1,1,156,2,71,6,1,0,2,4326.976236979167,0,1,1,Duradero,Urbano,3.3328155483568884,2.0492207167083194
18574,25,22,160101,8,9,50,1,79,6,3,0,2,1014.4533420138888,1,0,1,Precario,Urbano,0.08379318688614437,0.15233888610037433
18574,68,11,160101,1,1,0,1,47,11,6,1,2,4595.1875,0,0,1,Duradero,Urbano,3.5958852444116634,-0.7424166943750715
18574,79,11,160101,1,1,211,1,29,10,3,0,2,1881.3470052083333,0,0,1,Duradero,Urbano,0.9340686373643701,3.03345185523131
18574,101,11,160101,1,1,130,2,35,10,1,0,2,7476.334635416667,0,1,1,Duradero,Urbano,6.421801250572354,1.5839478148610877
18583,15,11,160101,1,9,0,2,63,8,1,1,2,997.5023600260416,0,1,1,Precario,Urbano,0.06716715250880897,-0.7424166943750715
18588,8,11,160101,1,1,140,2,40,9,6,1,2,874.3995225694445,1,1,1,Duradero,Urbano,-0.053575823265000724,1.762898930956177
