CONGLOME,VIVIENDA,HOGAR,UBIGEO,P1131,P1132,P1133,P1135,P1136,P1137,P1139,P1121,P1141,P1142,P101,P102,P1172$02,radio,tv_color,tv_bn,refrigeradora,P207,P208A,P301A,MIEPERHO,INGHOG2D
18573,19,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,189,1,1,2,1,1,75,10,6,67692.2890625
18573,50,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,97,2,1,2,1,2,42,11,4,91561.90625
18573,64,11,160101,0,0,0,1,0,1,0,1,0,1,1,8,46,2,1,2,2,1,65,6,3,7946.29541015625
18574,3,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,120,1,1,2,1,1,64,7,5,107838.1328125
18574,14,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,68,2,1,2,1,1,71,8,6,111407.4765625
18574,25,12,160101,0,1,0,0,0,0,0,1,0,1,1,1,156,1,1,2,1,2,71,6,1,51923.71484375
18574,25,22,160101,0,1,0,0,0,0,0,1,0,1,8,9,50,1,2,2,2,1,79,6,3,36520.3203125
18574,68,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,0,2,1,2,1,1,47,11,6,330853.5
18574,79,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,211,2,1,2,1,1,29,10,3,67728.4921875
18574,101,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,130,2,1,2,1,2,35,10,1,89716.015625
18583,15,11,160101,0,0,0,1,0,1,0,0,0,1,1,9,0,2,2,2,2,2,63,8,1,11970.0283203125
18588,8,11,160101,0,1,0,1,0,0,0,1,0,1,1,1,140,2,1,2,1,2,40,9,6,62956.765625
18588,24,11,160101,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,2,1,58,5,1,8787.7734375
18590,8,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,34,1,1,2,1,1,64,9,2,19326.49609375
18590,23,11,160101,0,1,0,0,0,0,0,1,0,1,1,1,56,1,1,2,1,1,57,6,2,34979.25390625
18590,37,11,160101,0,0,0,1,0,0,0,1,0,1,1,1,45,2,1,2,2,1,44,7,3,21188.787109375
18590,51,11,160101,1,1,0,1,0,0,0,1,0,1,1,1,220,1,1,2,1,1,35,8,3,101621.828125
18590,80,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,400,1,1,2,1,2,62,11,1,138183.96875
18597,22,11,160101,1,1,0,0,0,0,0,1,0,1,1,1,100,2,2,2,2,2,41,9,4,23755.951171875
